,instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,casual,registered,cnt,range_times,day_type,weather_situation,season_type,range_times_encoded,range_times_clustered
0,1,2011-01-01,1,0,1,0,0,6,0,1,3,13,16,Dawn,Holiday,Clearly,Spring,1,1
1,2,2011-01-01,1,0,1,1,0,6,0,1,8,32,40,Dawn,Holiday,Clearly,Spring,1,1
2,3,2011-01-01,1,0,1,2,0,6,0,1,5,27,32,Dawn,Holiday,Clearly,Spring,1,1
3,4,2011-01-01,1,0,1,3,0,6,0,1,3,10,13,Dawn,Holiday,Clearly,Spring,1,1
4,5,2011-01-01,1,0,1,4,0,6,0,1,0,1,1,Morning,Holiday,Clearly,Spring,3,2
5,6,2011-01-01,1,0,1,5,0,6,0,2,0,1,1,Morning,Holiday,Misty,Spring,3,2
6,7,2011-01-01,1,0,1,6,0,6,0,1,2,0,2,Morning,Holiday,Clearly,Spring,3,2
7,8,2011-01-01,1,0,1,7,0,6,0,1,1,2,3,Morning,Holiday,Clearly,Spring,3,2
8,9,2011-01-01,1,0,1,8,0,6,0,1,1,7,8,Morning,Holiday,Clearly,Spring,3,2
9,10,2011-01-01,1,0,1,9,0,6,0,1,8,6,14,Morning,Holiday,Clearly,Spring,3,2
10,11,2011-01-01,1,0,1,10,0,6,0,1,12,24,36,Morning,Holiday,Clearly,Spring,3,2
11,12,2011-01-01,1,0,1,11,0,6,0,1,26,30,56,Afternoon,Holiday,Clearly,Spring,0,1
12,13,2011-01-01,1,0,1,12,0,6,0,1,29,55,84,Afternoon,Holiday,Clearly,Spring,0,1
13,14,2011-01-01,1,0,1,13,0,6,0,2,47,47,94,Afternoon,Holiday,Misty,Spring,0,1
14,15,2011-01-01,1,0,1,14,0,6,0,2,35,71,106,Afternoon,Holiday,Misty,Spring,0,1
15,16,2011-01-01,1,0,1,15,0,6,0,2,40,70,110,Afternoon,Holiday,Misty,Spring,0,1
16,17,2011-01-01,1,0,1,16,0,6,0,2,41,52,93,Afternoon,Holiday,Misty,Spring,0,1
17,18,2011-01-01,1,0,1,17,0,6,0,2,15,52,67,Evening,Holiday,Misty,Spring,2,2
18,19,2011-01-01,1,0,1,18,0,6,0,3,9,26,35,Evening,Holiday,Rainy or Snowy,Spring,2,2
19,20,2011-01-01,1,0,1,19,0,6,0,3,6,31,37,Night,Holiday,Rainy or Snowy,Spring,4,2
20,21,2011-01-01,1,0,1,20,0,6,0,2,11,25,36,Night,Holiday,Misty,Spring,4,2
21,22,2011-01-01,1,0,1,21,0,6,0,2,3,31,34,Night,Holiday,Misty,Spring,4,2
22,23,2011-01-01,1,0,1,22,0,6,0,2,11,17,28,Night,Holiday,Misty,Spring,4,2
23,24,2011-01-01,1,0,1,23,0,6,0,2,15,24,39,Night,Holiday,Misty,Spring,4,2
24,25,2011-01-02,1,0,1,0,0,0,0,2,4,13,17,Dawn,Holiday,Misty,Spring,1,1
25,26,2011-01-02,1,0,1,1,0,0,0,2,1,16,17,Dawn,Holiday,Misty,Spring,1,1
26,27,2011-01-02,1,0,1,2,0,0,0,2,1,8,9,Dawn,Holiday,Misty,Spring,1,1
27,28,2011-01-02,1,0,1,3,0,0,0,2,2,4,6,Dawn,Holiday,Misty,Spring,1,1
28,29,2011-01-02,1,0,1,4,0,0,0,2,2,1,3,Morning,Holiday,Misty,Spring,3,2
29,30,2011-01-02,1,0,1,6,0,0,0,3,0,2,2,Morning,Holiday,Rainy or Snowy,Spring,3,2
30,31,2011-01-02,1,0,1,7,0,0,0,2,0,1,1,Morning,Holiday,Misty,Spring,3,2
31,32,2011-01-02,1,0,1,8,0,0,0,3,0,8,8,Morning,Holiday,Rainy or Snowy,Spring,3,2
32,33,2011-01-02,1,0,1,9,0,0,0,2,1,19,20,Morning,Holiday,Misty,Spring,3,2
33,34,2011-01-02,1,0,1,10,0,0,0,2,7,46,53,Morning,Holiday,Misty,Spring,3,2
34,35,2011-01-02,1,0,1,11,0,0,0,2,16,54,70,Afternoon,Holiday,Misty,Spring,0,1
35,36,2011-01-02,1,0,1,12,0,0,0,2,20,73,93,Afternoon,Holiday,Misty,Spring,0,1
36,37,2011-01-02,1,0,1,13,0,0,0,2,11,64,75,Afternoon,Holiday,Misty,Spring,0,1
37,38,2011-01-02,1,0,1,14,0,0,0,3,4,55,59,Afternoon,Holiday,Rainy or Snowy,Spring,0,1
38,39,2011-01-02,1,0,1,15,0,0,0,3,19,55,74,Afternoon,Holiday,Rainy or Snowy,Spring,0,1
